timestamp,value
1001, 19.3
2000, 19.7
3000, 19.5
4000, 20.6
5000, 20.4
6000, 23.7
7000, 22
8001, 24.2
9000, 26.1
10000, 25.3
11001, 24.8
12001, 22.9
13000, 19.3
14000, 19.7
15001, 19.5
16000, 20.6
17001, 20.4
18000, 23.7
19001, 22
20001, 24.2
21000, 26.1
22000, 25.3
23001, 24.8
24001, 22.9
25000, 19.3
26000, 19.7
27001, 19.5
28001, 20.6
29000, 20.4
30000, 23.7
31000, 22
32000, 24.2
33001, 26.1
34001, 25.3
35000, 24.8
36000, 22.9
37001, 19.3
38001, 19.7
39000, 19.5
40000, 20.6
41000, 20.4
42000, 23.7
43000, 22
44000, 24.2
45000, 26.1
46000, 25.3
47000, 24.8
48000, 22.9
49000, 19.3
50000, 19.7
51000, 19.5
52000, 20.6
53000, 20.4
54000, 23.7
55000, 22
56000, 24.2
57000, 26.1
58000, 25.3
59000, 24.8
60000, 22.9
61000, 19.3
62000, 19.7
63000, 19.5
64000, 20.6
65000, 20.4
66000, 23.7
67001, 22
68000, 24.2
69000, 26.1
70000, 25.3
71000, 24.8
72000, 22.9
73000, 19.3
74000, 19.7
75001, 19.5
76001, 20.6
77000, 20.4
78000, 23.7
79001, 22
80001, 24.2
81000, 26.1
82001, 25.3
83000, 24.8
84001, 22.9
85000, 19.3
86000, 19.7
87001, 19.5
88001, 20.6
89000, 20.4
90001, 23.7
91001, 22
92000, 24.2
93000, 26.1
94001, 25.3
95000, 24.8
96001, 22.9
97000, 19.3
98000, 19.7
99000, 19.5
100000, 20.6
101000, 20.4
102000, 23.7
103000, 22
104000, 24.2
105000, 26.1
106000, 25.3
107000, 24.8
108000, 22.9
109000, 19.3
110000, 19.7
111000, 19.5
112000, 20.6
113000, 20.4
114000, 23.7
115000, 22
116000, 24.2
117001, 26.1
118000, 25.3
119000, 24.8
120000, 22.9
121000, 19.3
122000, 19.7
123000, 19.5
124000, 20.6
