timestamp,value
1002, 61.7
2001, 121.1
3001, 179.89999999999998
4001, 174.49999999999997
5002, 178.59999999999997
6001, 181.99999999999997
7001, 193.79999999999995
8001, 203.89999999999995
9001, 214.59999999999997
10001, 222.89999999999998
11001, 228
12001, 229.39999999999998
13001, 214.7
14001, 195.39999999999998
15002, 179.89999999999998
16001, 174.49999999999997
17001, 178.59999999999997
18001, 181.99999999999997
19001, 193.79999999999995
20001, 203.89999999999995
21001, 214.59999999999997
22001, 222.89999999999998
23001, 228
24001, 229.39999999999998
25001, 214.7
26001, 195.39999999999998
27001, 179.89999999999998
28001, 174.49999999999997
29001, 178.59999999999997
30001, 181.99999999999997
31001, 193.79999999999995
32001, 203.89999999999995
33002, 214.59999999999997
34001, 222.89999999999998
35001, 228
36001, 229.39999999999998
37001, 214.7
38001, 195.39999999999998
39001, 179.89999999999998
40001, 174.49999999999997
41001, 178.59999999999997
42001, 181.99999999999997
43001, 193.79999999999995
44001, 203.89999999999995
45001, 214.59999999999997
46001, 222.89999999999998
47001, 228
48001, 229.39999999999998
49001, 214.7
50001, 195.39999999999998
51001, 179.89999999999998
52001, 174.49999999999997
53001, 178.59999999999997
54001, 181.99999999999997
55001, 193.79999999999995
56001, 203.89999999999995
57001, 214.59999999999997
58001, 222.89999999999998
59001, 228
60001, 229.39999999999998
61001, 214.7
62001, 195.39999999999998
63001, 179.89999999999998
64001, 174.49999999999997
65001, 178.59999999999997
66001, 181.99999999999997
67001, 193.79999999999995
68002, 203.89999999999995
69001, 214.59999999999997
70001, 222.89999999999998
71001, 228
72001, 229.39999999999998
73001, 214.7
74001, 195.39999999999998
75001, 179.89999999999998
76001, 174.49999999999997
77002, 178.59999999999997
78001, 181.99999999999997
79001, 193.79999999999995
80001, 203.89999999999995
81001, 214.59999999999997
82001, 222.89999999999998
83001, 228
84001, 229.39999999999998
85001, 214.7
86001, 195.39999999999998
87002, 179.89999999999998
88001, 174.49999999999997
89001, 178.59999999999997
90001, 181.99999999999997
91001, 193.79999999999995
92001, 203.89999999999995
93001, 214.59999999999997
94001, 222.89999999999998
95001, 228
96001, 229.39999999999998
97001, 214.7
98001, 195.39999999999998
99001, 179.89999999999998
100001, 174.49999999999997
101001, 178.59999999999997
102001, 181.99999999999997
103001, 193.79999999999995
104001, 203.89999999999995
105001, 214.59999999999997
106001, 222.89999999999998
107001, 228
108001, 229.39999999999998
109001, 214.7
110001, 195.39999999999998
111001, 179.89999999999998
112001, 174.49999999999997
113001, 178.59999999999997
114001, 181.99999999999997
115001, 193.79999999999995
116001, 203.89999999999995
117001, 214.59999999999997
118001, 222.89999999999998
119001, 228
120001, 229.39999999999998
121001, 214.7
122001, 195.39999999999998
