# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618318199977,20312064,799379456,20,60
1618318200243,28700672,1101647872,110,220
1618318200468,28700672,1101647872,120,240
1618318200692,28897280,1101647872,130,270
1618318200901,28897280,1101647872,140,280
1618318201109,28897280,1101647872,140,290
1618318201319,28897280,1101647872,150,300
1618318201526,28897280,1101647872,150,300
1618318201735,28897280,1101647872,150,300
1618318201942,28897280,1101647872,150,300
1618318202148,28897280,1101647872,150,300
1618318202355,28897280,1101647872,150,300
1618318202563,28897280,1101647872,150,300
1618318202773,28897280,1101647872,150,300
1618318202985,28897280,1101647872,150,300
1618318203196,28897280,1101647872,150,300
1618318203410,28897280,1101647872,150,300
1618318203617,28897280,1101647872,150,300
1618318203825,28897280,1101647872,150,300
1618318204033,28897280,1101647872,150,300
1618318204241,28897280,1101647872,150,300
1618318204450,28897280,1101647872,150,300
1618318204656,28897280,1101647872,150,300
1618318204865,28897280,1101647872,150,300
1618318205096,28897280,1101647872,150,300
1618318205305,28897280,1101647872,150,300
1618318205513,28897280,1101647872,150,300
1618318205719,28897280,1101647872,150,300
1618318205927,28897280,1101647872,150,300
1618318206134,28897280,1101647872,150,300
1618318206343,28897280,1101647872,150,300
1618318206550,28897280,1101647872,150,300
1618318206756,28897280,1101647872,150,300
1618318206965,28897280,1101647872,150,300
1618318207172,28897280,1101647872,150,300
1618318207379,28897280,1101647872,150,300
1618318207586,28897280,1101647872,150,300
1618318207793,28897280,1101647872,150,300
1618318208000,28897280,1101647872,150,300
1618318208209,28897280,1101647872,150,300
1618318208416,28897280,1101647872,150,300
1618318208623,28897280,1101647872,150,300
1618318208836,28897280,1101647872,150,300
1618318209044,28897280,1101647872,150,300
1618318209253,28897280,1101647872,150,300
1618318209462,28897280,1101647872,150,300
1618318209669,28897280,1101647872,150,300
1618318209876,28897280,1101647872,150,300
1618318210082,28897280,1101647872,150,300
1618318210289,28897280,1101647872,150,300
1618318210495,28897280,1101647872,150,300
1618318210702,28897280,1101647872,150,300
1618318210909,28897280,1101647872,150,300
1618318211116,28897280,1101647872,150,300
1618318211322,28897280,1101647872,150,300
1618318211529,28897280,1101647872,150,300
1618318211736,28897280,1101647872,150,300
1618318211943,28897280,1101647872,150,300
1618318212149,28897280,1101647872,150,300
1618318212356,28897280,1101647872,150,300
1618318212567,28897280,1101647872,150,300
1618318212775,28897280,1101647872,150,300
1618318212981,28897280,1101647872,150,300
1618318213187,28897280,1101647872,150,300
1618318213393,28897280,1101647872,150,300
1618318213601,28897280,1101647872,150,300
1618318213811,28897280,1101647872,150,300
