# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618318205127,20328448,874618880,20,90
1618318205385,28717056,1252651008,90,250
1618318205623,28717056,1252651008,120,250
1618318205835,28717056,1252651008,170,250
1618318206048,28717056,1252651008,170,250
1618318206256,28717056,1252651008,170,250
1618318206466,28717056,1252651008,170,250
1618318206680,28717056,1252651008,170,250
1618318206889,28717056,1252651008,170,250
1618318207097,28717056,1252651008,170,250
1618318207307,28717056,1252651008,170,250
1618318207515,28717056,1252651008,170,250
1618318207723,28717056,1252651008,170,250
1618318207933,28717056,1252651008,170,250
1618318208143,28717056,1252651008,170,250
1618318208352,28717056,1252651008,170,250
1618318208561,28717056,1252651008,170,250
1618318208776,28717056,1252651008,170,250
1618318208986,28717056,1252651008,170,250
1618318209194,28717056,1252651008,170,250
1618318209411,28717056,1252651008,170,250
1618318209618,28717056,1252651008,170,250
1618318209825,28717056,1252651008,170,250
1618318210032,28717056,1252651008,170,250
1618318210239,28717056,1252651008,170,250
1618318210447,28717056,1252651008,170,250
1618318210654,28717056,1252651008,170,250
1618318210861,28717056,1252651008,170,250
1618318211069,28717056,1252651008,170,250
1618318211276,28717056,1252651008,170,250
1618318211483,28717056,1252651008,170,250
1618318211689,28717056,1252651008,170,250
1618318211897,28717056,1252651008,170,250
1618318212105,28717056,1252651008,170,250
1618318212316,28717056,1252651008,170,250
1618318212522,28717056,1252651008,170,250
1618318212729,28717056,1252651008,170,250
1618318212936,28717056,1252651008,170,250
1618318213147,28717056,1252651008,170,250
1618318213353,28717056,1252651008,170,250
1618318213559,28717056,1252651008,170,250
1618318213768,28717056,1252651008,170,250
1618318213975,28717056,1252651008,170,250
1618318214184,28717056,1252651008,170,250
1618318214390,28717056,1252651008,170,250
1618318214597,28717056,1252651008,170,250
1618318214806,28717056,1252651008,170,250
1618318215013,28717056,1252651008,170,250
1618318215219,28717056,1252651008,170,250
1618318215426,28717056,1252651008,170,250
1618318215633,28717056,1252651008,170,250
1618318215841,28717056,1252651008,170,250
1618318216048,28717056,1252651008,170,250
1618318216255,28717056,1252651008,170,250
1618318216463,28717056,1252651008,170,250
1618318216669,28717056,1252651008,170,250
1618318216880,28717056,1252651008,170,250
1618318217086,28717056,1252651008,170,250
1618318217292,28717056,1252651008,170,250
1618318217500,28717056,1252651008,170,250
1618318217707,28717056,1252651008,170,250
1618318217913,28717056,1252651008,170,250
1618318218119,28717056,1252651008,170,250
1618318218326,28717056,1252651008,170,250
1618318218533,28717056,1252651008,170,250
1618318218743,28717056,1252651008,170,250
1618318218949,28717056,1252651008,170,250
1618318219155,28717056,1252651008,170,250
1618318219362,28717056,1252651008,170,250
1618318219572,28717056,1252651008,170,250
1618318219779,28717056,1252651008,170,250
1618318219986,28717056,1252651008,170,250
1618318220192,28717056,1252651008,170,250
1618318220399,28717056,1252651008,170,250
1618318220631,28717056,1252651008,170,250
1618318220849,28717056,1252651008,170,250
1618318221064,28717056,1252651008,170,250
1618318221291,28717056,1252651008,170,250
1618318221498,28717056,1252651008,170,250
1618318221705,28717056,1252651008,170,250
1618318221911,28717056,1252651008,170,250
1618318222118,28717056,1252651008,170,250
1618318222326,28717056,1252651008,170,250
1618318222533,28717056,1252651008,170,250
1618318222744,28717056,1252651008,170,250
1618318222950,28717056,1252651008,170,250
1618318223157,28717056,1252651008,170,250
1618318223366,28717056,1252651008,170,250
1618318223573,28717056,1252651008,170,250
1618318223782,28717056,1252651008,170,250
1618318223991,28717056,1252651008,170,250
1618318224203,28717056,1252651008,170,250
1618318224414,28717056,1252651008,170,250
1618318224621,28717056,1252651008,170,250
1618318224830,28717056,1252651008,170,250
1618318225042,28717056,1252651008,170,250
1618318225248,28717056,1252651008,170,250
1618318225456,28717056,1252651008,170,250
1618318225676,28717056,1252651008,170,250
1618318225883,28717056,1252651008,170,250
1618318226089,28717056,1252651008,170,250
1618318226297,28717056,1252651008,170,250
1618318226506,28717056,1252651008,170,250
1618318226712,28717056,1252651008,170,250
1618318226918,28717056,1252651008,170,250
1618318227125,28717056,1252651008,170,250
1618318227332,28717056,1252651008,170,250
1618318227538,28717056,1252651008,170,250
1618318227744,28717056,1252651008,170,250
1618318227950,28717056,1252651008,170,250
1618318228162,28717056,1252651008,170,250
1618318228371,28717056,1252651008,170,250
1618318228577,28717056,1252651008,170,250
1618318228783,28717056,1252651008,170,250
