# timestamp,line
1618318206659,func/room1/ahum {"time":1618318206657454000,"value":8.639091242147579}
1618318206659,func/room2/ahum {"time":1618318206657454000,"value":10.23133645092664}
1618318207659,func/room2/ahum {"time":1618318207657454000,"value":58.927824619222186}
1618318207659,func/room1/ahum {"time":1618318207657454000,"value":55.26609434078813}
1618318208659,func/room2/ahum {"time":1618318208657454000,"value":220.28769909444048}
1618318208659,func/room1/ahum {"time":1618318208657454000,"value":235.09894068910822}
1618318209659,func/room1/ahum {"time":1618318209657454000,"value":274.01069496639934}
1618318209659,func/room2/ahum {"time":1618318209657454000,"value":226.24350817285907}
1618318210659,func/room1/ahum {"time":1618318210657454000,"value":326.86148209849586}
1618318210659,func/room2/ahum {"time":1618318210657454000,"value":238.74617862265475}
1618318211659,func/room2/ahum {"time":1618318211657454000,"value":291.379254187048}
1618318211659,func/room1/ahum {"time":1618318211657454000,"value":371.37974518450005}
1618318212659,func/room2/ahum {"time":1618318212657454000,"value":329.1256440171439}
1618318212659,func/room1/ahum {"time":1618318212657454000,"value":430.1355789378021}
1618318213659,func/room2/ahum {"time":1618318213657454000,"value":405.2933459637378}
1618318213659,func/room1/ahum {"time":1618318213657454000,"value":484.39240540600275}
1618318214659,func/room1/ahum {"time":1618318214657454000,"value":548.8375450293175}
1618318214659,func/room2/ahum {"time":1618318214657454000,"value":470.1829680054766}
1618318215659,func/room2/ahum {"time":1618318215657454000,"value":556.9423606103252}
1618318215659,func/room1/ahum {"time":1618318215657454000,"value":560.0418773946789}
1618318216659,func/room2/ahum {"time":1618318216657454000,"value":583.2820320918778}
1618318216659,func/room1/ahum {"time":1618318216657454000,"value":452.7136121787219}
1618318217659,func/room1/ahum {"time":1618318217657454000,"value":296.2526966537522}
1618318217659,func/room2/ahum {"time":1618318217657454000,"value":516.9377006683372}
1618318218659,func/room2/ahum {"time":1618318218657454000,"value":378.60278470233067}
1618318218659,func/room1/ahum {"time":1618318218657454000,"value":212.91411812659746}
1618318219659,func/room1/ahum {"time":1618318219657454000,"value":195.5217917453336}
1618318219659,func/room2/ahum {"time":1618318219657454000,"value":277.54839584414236}
1618318220660,func/room1/ahum {"time":1618318220657454000,"value":235.0989406891082}
1618318220660,func/room2/ahum {"time":1618318220657454000,"value":220.28769909444026}
1618318221659,func/room2/ahum {"time":1618318221657454000,"value":226.2435081728591}
1618318221659,func/room1/ahum {"time":1618318221657454000,"value":274.0106949663993}
1618318222659,func/room2/ahum {"time":1618318222657454000,"value":238.74617862265447}
1618318222659,func/room1/ahum {"time":1618318222657454000,"value":326.8614820984958}
1618318223659,func/room2/ahum {"time":1618318223657454000,"value":291.37925418704754}
1618318223659,func/room1/ahum {"time":1618318223657454000,"value":371.3797451845}
1618318224659,func/room1/ahum {"time":1618318224657454000,"value":430.135578937802}
1618318224659,func/room2/ahum {"time":1618318224657454000,"value":329.1256440171439}
1618318225659,func/room2/ahum {"time":1618318225657454000,"value":405.2933459637378}
1618318225659,func/room1/ahum {"time":1618318225657454000,"value":484.39240540600275}
1618318226659,func/room2/ahum {"time":1618318226657454000,"value":470.1829680054766}
1618318226659,func/room1/ahum {"time":1618318226657454000,"value":548.8375450293175}
1618318227659,func/room1/ahum {"time":1618318227657454000,"value":560.0418773946789}
1618318227659,func/room2/ahum {"time":1618318227657454000,"value":556.9423606103252}
1618318228659,func/room1/ahum {"time":1618318228657454000,"value":452.7136121787219}
1618318228659,func/room2/ahum {"time":1618318228657454000,"value":583.2820320918778}
1618318229659,func/room2/ahum {"time":1618318229657454000,"value":516.9377006683372}
1618318229659,func/room1/ahum {"time":1618318229657454000,"value":296.2526966537522}
1618318230659,func/room2/ahum {"time":1618318230657454000,"value":378.60278470233067}
1618318230659,func/room1/ahum {"time":1618318230657454000,"value":212.91411812659746}
1618318231659,func/room2/ahum {"time":1618318231657454000,"value":277.54839584414236}
1618318231660,func/room1/ahum {"time":1618318231657454000,"value":195.5217917453336}
1618318232659,func/room2/ahum {"time":1618318232657454000,"value":220.28769909444026}
1618318232659,func/room1/ahum {"time":1618318232657454000,"value":235.0989406891082}
1618318233659,func/room2/ahum {"time":1618318233657454000,"value":226.2435081728591}
1618318233659,func/room1/ahum {"time":1618318233657454000,"value":274.0106949663993}
1618318234659,func/room1/ahum {"time":1618318234657454000,"value":326.8614820984958}
1618318234659,func/room2/ahum {"time":1618318234657454000,"value":238.74617862265447}
1618318235659,func/room1/ahum {"time":1618318235657454000,"value":371.3797451845}
1618318235659,func/room2/ahum {"time":1618318235657454000,"value":291.37925418704754}
1618318236659,func/room1/ahum {"time":1618318236657454000,"value":430.135578937802}
1618318236659,func/room2/ahum {"time":1618318236657454000,"value":329.1256440171439}
1618318237659,func/room1/ahum {"time":1618318237657454000,"value":484.39240540600275}
1618318237659,func/room2/ahum {"time":1618318237657454000,"value":405.2933459637378}
1618318238659,func/room1/ahum {"time":1618318238657454000,"value":548.8375450293175}
